status,title
Salah,Keputusan KPU Batal Secara Hukum
Salah,Risma beberkan Jokowi gunakan bansos Rp400 triliun untuk kemenangan Prabowo-Gibran
Salah,"Video Demo Ricuh di DPR pada 2019, Bukan Maret 2024"
Salah,Demo Ricuh Dalam Video Ini Desak Hak Angket
Salah,Risma beberkan Jokowi gunakan bansos Rp400 triliun untuk kemenangan Prabowo-Gibran
Salah,"Video Demo Ricuh di DPR pada 2019, Bukan Maret 2024"
Salah,Demo Ricuh Dalam Video Ini Desak Hak Angket
Salah,Risma beberkan Jokowi gunakan bansos Rp400 triliun untuk kemenangan Prabowo-Gibran
Salah,"Video Demo Ricuh di DPR pada 2019, Bukan Maret 2024"
Salah,Harga Beras Naik Karena Diborong PDIP untuk Kampanye
Salah,Risma beberkan Jokowi gunakan bansos Rp400 triliun untuk kemenangan Prabowo-Gibran
Salah,"Video Demo Ricuh di DPR pada 2019, Bukan Maret 2024"
Salah,Video Adian Napitupulu Dihalang-halangi Saat Sidak ke Kantor KPU
Salah,Penyebab Kebakaran Asrama Polisi di Aceh Belum Diketahui
Salah,Video Perayaan Kemenangan Pendukung Anies-Muhaimin Setelah Memperoleh 49 Persen Real Count
Salah,Massa membakar Gedung Bawaslu tolak hasil Pemilu 2024
Salah,“KEJAHATAN KECURANGAN TSM PEMILU 14 FEBRUARI 2024 Yang Di TUTUPI”
Salah,Jokowi perintahkan pendemo Pemilu 2024 ditangkap
Salah,"Anies-Muhaimin unggul 89,9 persen dalam &quot;real count&quot; 13 Maret"
Salah,Perhitungan suara dihentikan karena KPU temukan kecurangan
Salah,Pidato Presiden China meminta Pulau Kalimantan sebagai jaminan utang
Salah,Video demo meminta diskualifikasi paslon Prabowo-Gibran dari Pemilu 2024
Salah,Video penyetujuan usulan hak angket pada awal Maret 2023
Salah,Video Surya Paloh Mencium Tangan Jokowi dengan Klaim Demi Jabatan
Salah,Mahfud MD Akui Kemenangan Prabowo-Gibran
Salah,Michelle Obama Jadi Capres AS 2024
Salah,"Pernyataan Jokowi ""Tangkap Mereka"" Tidak Terkait Demo Pemilu"
Salah,"Pernyataan Gus Dur soal ""KPU Isinya Maling"" Disebar dengan Konteks Keliru"
Salah,PENGHITUNGAN SUARA DIHENTIKAN KARENA KECURANGAN PEMILU TERBONGKAR
Salah,"Real Count AMIN Unggul 56,5%"
Salah,Kades di NTB Diamuk Massa karena Lakukan Kecurangan Pemilu
Salah,Video yang Diklaim Unjuk Rasa di Depan Kantor KPU pada 1 Maret 2024
Salah,ICW dan Lokataru dijaga Polisi karena Kritis terhadap Pemilu 2024
Salah,“Cak Imin dan Prabowo sudah istighotsah bareng tinggal yang lain belum”
Salah,Tim Pemenangan Anies-Muhaimin Dideklarasikan Sebelum Tim Hukum
Salah,“Video kondisi Demo pada tanggal 1 Maret 2024”
Salah,“Kepala Desa Diamuk Warga karena Kecurangan Pemilu Paslon 02 di NTB”
Salah,KPU Memajukan Jadwal Penetapan Hasil Pemilu 2024 pada 28 Februari 
Salah,"Video Jokowi Joget Oke Gas, Terdapat Bendera China dan Pemilu 2024 Terdapat Intervensi China"
Salah,KPPS Jawa Timur Akui Gelembungkan Suara Paslon 02
Salah,Video Soeharto Berkomentar tentang Kondisi Demokrasi Indonesia
Salah,Video yang Diklaim Menunjukkan Cara Kerja Chart Penggelembungan Suara Pilpres 2024
Salah,Gibran Mengamuk karena Adian Tunjukkan Bukti Kecurangan Pemilu
Salah,Video KPPS di Jawa Timur Akui Gelembungkan Suara Paslon 2
Salah,Video Anies-Muhaimin Ucapkan Selamat ke Prabowo Tidak Terkait Pilpres
Salah,KUBU GANJAR ANIES PAPARKAN BUKTI KECURANGAN PEMILU 2024 DI HAK ANGKET
Salah,KPU Memajukan Jadwal Penetapan Hasil Pemilu 2024 pada 28 Februari
Salah,Hashim Sebut Anies-Muhaimin Akan Menang dan Gibran Pemicu Kekalahan Prabowo
Salah,Video Pertemuan Surya Paloh dan Puan Sebelum Pilpres 2024
Salah,Panser dan TANK diturunkan untuk Amankan KPU dan BAWASLU dari Mahasiswa dan Rakyat yang akan DEMO
Salah,Video Kerusuhan di KPU dan Bawaslu Terkait Kecurangan Pemilu 2024
Salah,dalam Video Ini Puan Maharani Bacakan Hak Angket Kecurangan Pemilu dan Pemakzulan Presiden
Salah,Video Xi Jinping Minta Jokowi Serahkan Tanah di Kalimantan sebagai Jaminan
Salah,Gedung Bawaslu RI Dibakar Pengunjuk Rasa Terkait Pemilu 2024
Salah,Jadwal Penetapan Hasil Pemilu 2024 Dimajukan Menjadi 28 Februari 2024 dari 20 Maret
Salah,Video Berisi Klaim Surya Paloh Berpidato Menyesal Usung Anies Baswedan
Salah,Video Jokowi Joget di Vietnam Dibagikan dengan Konteks Keliru
Salah,Video Kerusuhan Demo Penolakan Hasil Pemilu 2024
Salah,Video Caleg Stres karena Tak Dapat Suara di Bengkulu
Salah,Aksi Tolak Pemilu Curang Habib Rizieq Buat Istana Panik
Salah,Foto “Presiden Jokowi Panggil Semua Ketum Parpol ke Istana”
Salah,"Rapat Internal Bocor, Awal Januari 2024 Suara Hasil Pemilu Sudah Diketahui Angkanya"
Salah,"Jadi Olok-Olokan Internasional: Di Indonesia, Hasil Pemilu Sudah Diketahui Sebelum Pelaksanaan"
Salah,Video Warga Baduy Turun Kota Siap Lawan Preman Pemilu
Salah,BOCOOR !! HASIL PEMILU 2024 SUDAH DITENTUKAN DARI 5 JANUARI 2024
Salah,"Foto Pertemuan Jokowi dan Ketum Parpol pada 2022, Bukan Usai Pemilu"
Salah,"Darurat Keamanan Nasional, TNI Dikerahkan Amankan Bawaslu"
Salah,Video Berisi Klaim Gedung Bawaslu RI Dibakar Pengunjuk Rasa Terkait Pemilu 2024
Salah,Video Berisi Klaim Real Count Per 23 Februari Mencapai 90 Persen
Salah,"Grafik Hasil Hitung Cepat Litbang Kompas Anies 60.15%, Prabowo 21.47%, dan Ganjar 18.38%"
Salah,Video Ormas Jaga KPU dan Istana dari Pedemo Pemilu
Salah,ORMAS HERCULES JAGA KPU DAN ISTANA DARI PENDEMO PEMILU
Salah,Video Kecurangan Pemilu 2024: “BOCOR LAGI.. Ternyata data KPU 2024 sudah jadi”
Salah,AKTIVIS 98 PIMPIN AKSI DEMO MAHASISWA KE KPU
Salah,Prabowo Akui Pemilu 2024 Ada Kecurangan
Salah,Video Warga Baduy Siap Lawan Preman Pemilu
Salah,Video Pemuda Pancasila Demo di KPU Tasikmalaya
Salah,Video Muhaimin Disambut Pelukan Prabowo Terjadi Sebelum Pilpres
Salah,Video yang Diklaim Hercules Marshal Jaga Istana Presiden Setelah Pemilu 2024
Salah,Video yang Diklaim Unjuk Rasa Menolak Hasil Pemilu di Gedung DPR RI pada 20 Februari 2024
Salah,Pasukan Pemuda Pancasila Mendemo KPU Tasikmalaya Karena Kecurangan Pemilu 2024
Salah,Pelaksanaan Jadwal Dari KPU Pilpres Putaran Kedua
Salah,“LAUTAN PENDUKUNG AMIN DILUAR STADION JIS”
Salah,Jogyakarta Jum'at 23 Pebruari 2024 Sudah Bergerak Lawan Kecurangan Pemilu
Salah,"Video “Tak Terima Kekalahan, Anies Baswedan Ikut Turun dan Pimpin Demo”"
Salah,ROCKY GERUNG TUNJUKKAN VIDEO KECURANGAN PEMILU DARI KPU DAN BAWASLU
Salah,“PRABOWO DAN SURYA PALOH BERSATU UNTUK INDONESIA EMAS”
Benar,KECURANGAN PEMILU 2024 MULAI DIUSUT BIKIN PRABOWO PANIK TOTAL
Salah,"Ribuan Masyarakat Baduy Berbondong ke Kota untuk Bela Anies
"
Salah,Prabowo Mengakui Kecurangan Pemilu 2024
Salah,Paslon Nomor Urut 2 Gugur karena Lakukan Kecurangan
Salah,"Video Pertemuan Prabowo dan Surya Paloh pada 2019, Bukan Setelah Pemilu 2024"
Salah,Pesan Tom Lembong soal Anies-Muhaimin Menang Satu Putaran
Salah,Anies Pimpin Demo Penolakan Hasil Pemilu
Benar,Foto yang Memuat Teks Partai Buruh Dianulir di Dapil Jawa Tengah III
Salah,Prabowo Mengakui Kecurangan Pemilu 2024
Salah,Syukurlah para aktivis demokrasi saat ini Selasa (20 Feb. 2024) sedang MENGGERUDUK Gedung DPR
Salah,Ucapan Selamat Muhaimin Tidak Terkait Kemenangan Prabowo di Pemilu
Salah,Kejanggalan Pencarian DPT dengan Angka Acak di Website KPU RI
Salah,Alumni Trisakti Dukung Jokowi pada 2 Februari 2024 Setelah Banyak Akademisi Menyampaikan Petisi dan Kritik
Salah,Pemilu Ditunda dan Prabowo-Gibran Didiskualifikasi Pada Awal Februari
Salah,"Surya Paloh Menyesal, Usung Anies Adalah Kesalahan dan Kebodohan"
Salah,Foto Caleg Menjadi Pasien RSJ karena Gagal di Pemilu 2024
Salah,Penjelasan soal Surat Suara Bergambar Palu Arit
Salah,Video Pemuda Pancasila Tasikmalaya Demo KPU
Benar,"Video Seorang Pria Memasukkan Surat Suara dari Kantong Plastik ke Kotak Suara di TPS Pidie, Aceh"
Benar,Video Surat Suara Pemilu 2024 Dicoblos Sejumlah Anak di Luar TPS 
Salah,Video yang Diklaim Warga Makassar Tangkap Pemilih Siluman pada Pemilu 14 Februari 2024
Salah,Surat Suara KPU Bergambar Palu Arit Tanda PKI Terlibat Pemilu 2024
Salah,"Video “HARI INI Ditemukan oleh RELAWAN ANIES, di Makassar soal rencana curang Pemilu 2024”"
