id,authors,status,classification,title,content,fact,references,source_issue,source_link,picture1,picture2,tanggal,tags,conclusion,claim_review,media
1,Detik,Non-Hoax,,"Honor belum cair, Ratusan petugas kpps di kalsel geruduk kantor lurah",,,,,,,,,,,,
2,Detik,Non-Hoax,,"Quick Count 60,80% Litbang Kompas: PDIP 17,30%, Golkar 14,63%, Gerindra 13,70%",,,,,,,,,,,,
3,Tempo,Hoax,CekFakta,Keliru yang Diklaim Penemuan Gudang Kotak Suara Ganda di Makassar untuk Kecurangan Pemilu 2024,"

Beredar di media sosial, video yang diklaim gedung Badan Pengawas Pemilu atau Bawaslu RI terbakar. Video tersebut dibagikan dengan klaim gedung Bawaslu RI dibakar pengunjuk rasa yang kecewa terhadap penyelenggara Pemilu 2024. Di Instagram video dibagikan <a href=""https://www.instagram.com/reel/C33vvsZy_rl/"">akun ini</a> pada 28 Februari 2024.&nbsp;

""Rakyat sudah tidak percaya lagi pada KPU RI, Bawaslu RI dan Presiden Jokowi,"" tulis akun penyebar video.&nbsp;



Hingga artikel ini dimuat, video tersebut telah mendapat 1.271 komentar. Benarkah ini video Gedung Bawaslu RI dibakar pengunjuk rasa yang kecewa kinerja penyelenggara Pemilu 2024?","

Untuk memverifikasi klaim di atas, Tim Cek Fakta Tempo menelusuri video melalui fitur pencarian Facebook pemberitaan terkait danreverse imageGoogle. Selanjutnya penelusuran dilakukan melalui pemberitaan sejumlah media kredibel.&nbsp;

Hasilnya, video tersebut telah beredar di internet sejak Mei 2019. Gedung Bawaslu RI terbakar saat terjadi aksi kerusuhan yang melibatkan pengunjuk rasa&nbsp; dengan polisi pada 22 Mei 2019.

Video yang identik ramai beredar di Facebook. Di antaranya diunggah akun <a href=""https://www.facebook.com/tutidhal/videos/1266280760214214/"">Idheal Malay</a> pada 23 Mei 2019.



Pada hari yang sama sebuah video identik lainnya juga diunggah akun Facebook <a href=""https://www.facebook.com/dyah.apandi/videos/2398245553573155/"">Shinta Shaira</a>.&nbsp;



Dilansir dari situs berita <a href=""http://detik.com""> </a>  <a href=""https://news.detik.com/berita/d-4561462/gedung-bawaslu-sempat-terbakar-diduga-dilempar-molotov"">Detik.com</a>, salah satu area di gedung Badan Pengawas Pemilihan Umum (Bawaslu), Jakarta Pusat, ternyata sempat terbakar saat kerusuhan terjadi. Api diduga berasal dari molotov yang dilempar massa demonstran.

Bagja mengatakan peristiwa ini terjadi antara pukul 23.00-24.00 WIB saat terjadi kerusuhan massa demonstran yang dipukul mundur polisi dari depan gedung Bawaslu. Menurutnya, lantai yang sempat terbakar ini merupakan tempat pimpinan Bawaslu berkantor.

Berdasarkan arsip berita <a href=""https://nasional.tempo.co/read/1207889/penyebab-massa-demo-22-mei-bentrok-dengan-polisi-di-depan-bawaslu"">Tempo</a>, Kepala Polres Jakarta Pusat Kombes Harry Kurniawan, menyebutkan ada bentrokan antara massa Demo 22 Mei dengan aparat polisi di depan Gedung Bawaslu, Jakarta Pusat.

Dikatakan Harry, penyebab terjadinya rusuh karena seratusan massa merusak pagar kawat duri yang direntangkan di depan kantor Bawaslu, Jalan Mh Thamrin, Jakarta Pusat, Senin, 21 Mei 2019.

Kerusuhan terjadi di Aksi Gerakan Nasional Kedaulatan Rakyat atau Aksi 22 Mei di depan Kantor Bawaslu mulai sekitar pukul 23.00 WIB. Kerusuhan bermula dari adu mulut antara massa dengan polisi Sabhara. Akibat kerusuhan ini beberapa orang massa diamankan oleh polisi.","https://www.instagram.com/reel/C33vvsZy_rl/
https://www.facebook.com/tutidhal/videos/1266280760214214/
https://www.facebook.com/dyah.apandi/videos/2398245553573155/
http://detik.com
https://news.detik.com/berita/d-4561462/gedung-bawaslu-sempat-terbakar-diduga-dilempar-molotov
https://nasional.tempo.co/read/1207889/penyebab-massa-demo-22-mei-bentrok-dengan-polisi-di-depan-bawaslu
mailto:cekfakta@tempo.co.id
",cekfakta.tempo.co,https://cekfakta.tempo.co/fakta/2807/keliru-video-berisi-klaim-gedung-bawaslu-ri-dibakar-pengunjuk-rasa-terkait-pemilu-2024,https://statik.tempo.co/data/2024/02/29/id_1283564/1283564_720.jpg,https://statik.tempo.co/data/2024/02/29/id_1283565/1283565_720.jpg,2/29/2024,"cekfakta, cekfakta-tempo","

Berdasarkan verifikasi Tempo, video dengan klaim gedung Bawaslu RI dibakar pengunjuk rasa yang kecewa kinerja penyelenggara Pemilu 2024 adalahkeliru.&nbsp;

Video tersebut telah beredar di internet sejak Mei 2019. Gedung Bawaslu RI terbakar saat terjadi aksi kerusuhan yang melibatkan pengunjuk rasa dengan polisi pada 22 Mei 2019.

Sebelum kerusuhan, terjadi aksi unjuk rasa yang dilakukan para pendukung pasangan calon presiden Prabowo Subianto dan calon wakil presiden Sandiaga Uno di depan kantor Badan Pengawasan Pemilu (Bawaslu), Sarinah, Jakarta Pusat. Pasangan tersebut kalah dari Joko Widodo-Ma'ruf Amin.",[],"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]"
4,Detik,Non-Hoax,,Bahlil sebut Jokowi tak terganggu usul hak angket dugaan kecurangan pemilu,,,,,,,,,,,,
5,Kompas,Hoax,CekFakta,Muhaimin Sebut 13.000 Desa Sudah Maju dan Mandiri,"KOMPAS.com - Beredar video yang menarasikan bahwa calon wakil presiden nomor urut 3, Mahfud MD, mengakui kemenangan pasangan calon nomor urut 2, Prabowo Subianto-Gibran Rakabuming Raka.

Berdasarkan penelusuran Tim Cek Fakta Kompas.com, video itu disebarkan dengan konteks dan narasi keliru.

Narasi soal Mahfud mengakui kemenangan Prabowo-Gibran dibagikan oleh akun Instagram ini, serta akun Facebook ini dan ini.

Akun tersebut membagikan video saat Mahfud diwawancarai wartawan. Video tersebut muncul setelah pemungutan suara Pemilihan Umum (Pemilu) 2024 dan diberi keterangan demikian:

Pak Mahfud MD kooperatif, mengakui pak Prabowo & Gibran memenangi kompetisi capres & cawapres. Menerima kekalahannya dengan hati legowo.

Akun Instagram Tangkapan layar akun Instagram yang menyebut Mahfud MD mengakui kemenangan Prabowo-Gibran di Pilpres 2024

","Tim Cek Fakta Kompas.com menemukan video Mahfud saat diwawancarai wartawan dengan konteks lengkap di kanal YouTube tvOne ini. 

Dalam video yang ditayangkan pada Rabu (14/2/2024) itu, tidak terdapat informasi soal pengakuan Mahfud atas kemenangan Prabowo-Gibran.

Mahfud diwawancarai seusai menunaikan shalat subuh di Masjid Darul Ikram, Dukuh Sambilegi Lor, Kelurahan Maguwoharjo, Sleman, Daerah Istimewa Yogyakarta (DIY), Rabu.

Kepada wartawan, Mahfud menuturkan rencananya berangkat ke tempat pemungutan suara (TPS) sekitar pukul 07.45 dan setelah itu bertolak ke Jakarta pukul 11.00.

Selain itu, Mahfud menyampaikan pesan kepada masyarakat untuk memberikan hak suara dengan penuh kesadaran dan tanggung jawab.

Mantan Ketua Mahkmah Konstitusi itu menekankan, apa pun hasilnya, pemilu merupakan ajang untuk mencari pemimpin, bukan musuh.

Ia juga mengingatkan, pihak yang tidak puas dengan hasil pemilu bisa menempuh jalur hukum dan tidak boleh ada kekerasan.

Pasca-pemungutan suara, Tim Cek Fakta Kompas.com tidak menemukan pemberitaan kredibel soal pengakuan Mahfud atas kemenangan Prabowo-Gibran.

Seperti diberitakan Kompas.com, Mahfud mengatakan, Tim Pemenangan Nasional (TPN) Ganjar-Mahfud telah membentuk tim hukum untuk menangani gugatan hasil Pilpres 2024.

“Kalau kami sudah siap. TPN, kami, tim hukum kami, sudah siap, sudah lengkap. (Kalau) sekarang MK buka, kita langsung daftar,” kata Mahfud, di Jakarta, Jumat (1/3/2024).

Sementara, Komisi Pemilihan Umum (KPU) belum mengumumkan pemenang Pilpres 2024. Penetapan rekapitulasi hasil suara dilakukan paling lambat 20 Maret 2024.

Berdasarkan Undang-Undang Nomor 7 Tahun 2017 tentang Pemilu, hasil pemilu ditetapkan paling lambat 35 hari setelah pemungutan suara.

","https://www.facebook.com/reel/7364735203589295
https://www.facebook.com/reel/921636316212034
https://www.facebook.com/watch/?mibextid=oFDknk&amp;v=2110599105963428
https://www.youtube.com/watch?v=668CPzs3Mfg
https://nasional.kompas.com/read/2024/03/01/14181631/mahfud-tegaskan-bakal-gugat-hasil-pilpres-2024-ke-mk-klaim-punya-bukti-kuat?page=all
https://t.me/kompascomupdate
",kompas.com,https://www.kompas.com/cekfakta/read/2024/03/14/142000382/hoaks-mahfud-md-akui-kemenangan-prabowo-gibran,https://asset.kompas.com/crops/xU6QC_Bqxt7KzSVlhT-Gex2OBcA=/0x22:859x595/750x500/data/photo/2024/03/14/65f2870ec53bd.jpg,,3/14/2024,"cekfakta, kompas, cekfakta-kompas","Narasi soal pengakuan Mahfud atas kemenangan Prabowo-Gibran merupakan hoaks. Video wawancara Mahfud sebelum pencoblosan disebarkan dengan konteks yang keliru.

Mahfud diwawancarai wartawan setelah shalat subuh di Masjid Darul Ikram, Dukuh Sambilegi Lor, Kelurahan Maguwoharjo, Sleman, Yogyakarta.

",[],"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]"
6,Kompas,Non-Hoax,,"Puluhan Tokoh Deklarasikan JAGA Pemilu, Awasi Pemilu 2024 agar Tak Ada Penyimpangan",,,,,,,,,,,,
7,Detik,Non-Hoax,,Habib Rizieq Minta Jemaah Dukung TNI/Polri Ciptakan Pemilu Damai,,,,,,,,,,,,
8,Mafindo,Hoax,Fabricated Content,dalam Foto ini Megawati Restui Ganjar Maju Jadi Capres 2024,"
Beredar di Whatsapp, sebuah nomor mengirimkan file APK Data TPS Pemilu 2024. ","Beredar pesan singkat melalui WhatsApp terkait data TPS Pemilu 2024 dari disertai lampiran dokumen dengan format Android Package Kit (APK) dengan nama “Data TPS Pemilu 2024.Apk”.
File yang dikirimkan merupakan bentuk SCAM, yakni penipuan digital yang menarget data-data privasi seseorang termasuk data perbankan.

Cek data TPS secara online pada Pemilu 2024 hanya bisa dilakukan melalui laman resmi https://cekdptonline.kpu.go.id/ dengan memasukkan NIK atau Nomor Paspor bagi pemilih yang berada di Luar Negeri.

Upaya pencurian data dengan modus mengirimkan file APK melalui WhatsApp kerap beredar dengan berbagai modus. Misalnya, modus tagihan listrik, undangan pernikahan, resi pengiriman ekspedisi, hingga terkait Pemilu 2024.

Pelaku akan mengirimkan file APK kepada korban, dan memanfaatkan kelengahan penerima pesan yang tidak mengecek terlebih dulu jenis file yang diterima. File APK yang dikirimkan oleh pelaku diduga telah diprogram sedemikian rupa untuk mencuri data pribadi korban, terutama data perbankan.","(1)    https://money.kompas.com/read/2023/07/06/162921826/penipuan-file-apk-buat-korban-rugi-rp-14-miliar-simak-ciri-ciri-dan-cara
(2)     https://manado.tribunnews.com/2024/02/12/waspada-modus-penipuan-undangan-pemilu-2024-pakai-file-apk-bisa-kuras-tabungan-anda
(3)    https://turnbackhoax.id/2023/12/23/salah-file-apk-daftar-pps-pemilu-2024/",whatsapp.com,,https://turnbackhoax.id/wp-content/uploads/2024/02/Untitled-design_20240212_145950_0000-1024x724.png,,2/13/2024,"cekfakta, tbh, Theme: Politic, Tool: Text, Sc: WA, Tc: Dream, Fu: FC, Evidence: Mixed, Scope: Domestic, Actor: Govt","File yang dibagikan merupakan SCAM berkedok Pemilu. Jika diunduh di ponsel Android, dapat mengakses berbagai data pribadi bahkan data perbankan. Selain itu, cek DPT secara online hanya bisa dilakukan di web https://cekdptonline.kpu.go.id/ dengan menuliskan NIK atau Nomor Paspor bagi pemilih yang berada di Luar Negeri.",[],"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]"
9,Tempo,Hoax,CekFakta,Hashim Sebut Anies-Muhaimin Akan Menang dan Gibran Pemicu Kekalahan Prabowo,"

Sebuah video beredar di Facebook akun  <a href=""https://www.facebook.com/syahril.yeng.5/posts/pfbid02DC8vwPo5aMbcP8jT7gjbtQk5cWV3ndhrbH68sVbbDmoK8Q6gYxAJcRyUj72Hb5t2l"">ini</a>  [ <a href=""https://megalodon.jp/2024-0330-1428-50/https://www.facebook.com:443/syahril.yeng.5/videos/395197969912677"">arsip</a> ], <a href=""https://www.facebook.com/groups/98504498425/?multi_permalinks=10161253942188426&amp;hoisted_section_header_type=recently_seen""> ini</a>, dan  <a href=""https://www.facebook.com/groups/962919028190018/?multi_permalinks=1137942150687704&amp;hoisted_section_header_type=recently_seen"">ini</a>, serta di  <a href=""https://twitter.com/H4T14K4LN4L42/status/1773733887476425158"">Twitter</a>, dengan narasi bahwa putusan Mahkamah Konstitusi (MK) tentang sengketa Pilpres 2024 telah keluar. Selain itu, terdapat klaim bahwa hakim MK memutuskan mendiskualifikasi pasangan capres-cawapres nomor urut 02, Prabowo Subianto-Gibran Rakabuming Raka, dari perhelatan Pilpres 2024.

Video itu memperlihatkan Ketua MK Suhartoyo sedang memimpin sidang sengketa Pemilihan Presiden dan Wakil Presiden (Pilpres) 2024. Suara dalam video dikatakan sebagai bacaan keputusan MK, yakni pertama mengabulkan seluruh permohonan pemohon dengan mendiskualifikasi Prabowo-Gibran serta membatalkan Keputusan KPU Nomor 1632 Tahun 2023 tentang Penetapan Pasangan Calon Peserta Pemilihan Umum Presiden dan Wakil Presiden Tahun 2024.

Berikut narasi yang disertakan: *alhamdulilah. akhirnya paslon 02 prabowo-gibran didiskualifikasi dan ada pemilu ulang... makasih yaa allah... mahkamah konstitusi... mari saudaraku viralkan ke seantero negeri dan dunia. allahu akbar....!!!* 



Namun, benarkah video itu memperlihatkan hakim MK yang sedang membacakan putusan kasus sengketa Pilpres 2024?&nbsp;","

Tempo memverifikasi narasi itu dengan mencari sumber video, menggunakan mesin pencari Google. Ditemukan sejumlah informasi terverifikasi mengenai video yang beredar tersebut.

Berikut hasil penelusurannya:

Verifikasi Video



Video yang beredar memperlihatkan Hakim MK Suhartoyo di ruang sidang serta teks berisi sejumlah poin. Video Suhartoyo dalam konten tersebut sama dengan siaran langsung  <a href=""https://www.youtube.com/watch?v=i-x_VvmcFC8"">saluran YouTube Mahkamah Konstitusi RI</a>, tertanggal 27 Maret 2024.

Sesungguhnya Suhartoyo dalam video itu tidak sedang membacakan putusan hakim. Video itu memperlihatkan tahap Penyampaian Permohonan Pemohon dari rangkaian proses sengketa hasil Pilpres 2024 di MK, bukan sidang pembacaan putusan.



Sementara teks dan suara dalam video yang beredar, sama dengan unggahan saluran  <a href=""https://www.youtube.com/watch?v=8maIVsUoGP0"">YouTube Metro TV</a>, tertanggal 27 Maret 2024. Video itu memperlihatkan pembacaan tuntutan oleh Bambang Widjojanto terkait sengketa Pilpres 2024 di MK.

Bambang adalah mantan Wakil Ketua Komisi Pemberantasan Korupsi (KPK) yang kini menjadi bagian dari tim hukum pasangan capres-cawapres Anies Baswedan-Muhaimin Iskandar dalam sengketa Pilpres 2024.

Sembilan poin tuntutan yang dibacakan dalam video yang beredar itu sama dengan sembilan tuntutan tim hukum kubu Anies-Muhaimin dalam sengketa Pilpres 2024 di MK, yang diberitakan  <a href=""https://www.cnbcindonesia.com/research/20240327100856-128-525833/lengkap-ini-9-tuntutan-anies-imin-di-sidang-sengketa-pilpres-mk"">CNBC Indonesia</a>.

Sehingga bisa disimpulkan, suara dalam video yang beredar bukan dari Suhartoyo yang membacakan putusan, melainkan suara Bambang yang sedang membacakan sembilan poin tuntutan kubu Anies-Muhaimin.

Jadwal Persidangan MK

 <a href=""https://www.kompas.com/tren/read/2024/03/26/083000665/tahapan-dan-jadwal-sidang-sengketa-hasil-pemilu-2024"">Tahapan proses sengketa Pilpres 2024</a>  di MK dimulai dengan pengajuan permohonan dari pemohon yang bisa dilakukan pada tanggal 21 sampai 23 Maret 2024. Tahap berikutnya adalah pemeriksaan pendahuluan pada 27 Maret 2024.

Persidangan pertama atas kasus sengketa Pilpres 2024 dilaksanakan 28 Maret 2024, lalu persidangan kedua pada tanggal 1 sampai 18 April 2024. Pengucapan putusan akan dilaksanakan tanggal 22 April 2024. Artinya, saat ini proses di MK belum sampai pada tahap pembacaan putusan hakim.

Yang menjadi hakim dalam proses persidangan ini adalah Ketua MK Suhartoyo, Wakil Ketua MK Saldi Isra, serta enam hakim konstitusi, yakni Arief Hidayat, Enny Nurbaningsih, Daniel Yusmic P Foekh, M Guntur Hamzah, Ridwan Mansyur dan Arsul Sani.","https://www.facebook.com/syahril.yeng.5/posts/pfbid02DC8vwPo5aMbcP8jT7gjbtQk5cWV3ndhrbH68sVbbDmoK8Q6gYxAJcRyUj72Hb5t2l
https://megalodon.jp/2024-0330-1428-50/https://www.facebook.com:443/syahril.yeng.5/videos/395197969912677
https://www.facebook.com/groups/98504498425/?multi_permalinks=10161253942188426&amp;hoisted_section_header_type=recently_seen
https://www.facebook.com/groups/962919028190018/?multi_permalinks=1137942150687704&amp;hoisted_section_header_type=recently_seen
https://twitter.com/H4T14K4LN4L42/status/1773733887476425158
https://www.youtube.com/watch?v=i-x_VvmcFC8
https://www.youtube.com/watch?v=8maIVsUoGP0
https://www.cnbcindonesia.com/research/20240327100856-128-525833/lengkap-ini-9-tuntutan-anies-imin-di-sidang-sengketa-pilpres-mk
https://www.kompas.com/tren/read/2024/03/26/083000665/tahapan-dan-jadwal-sidang-sengketa-hasil-pemilu-2024
https://wa.me/6281315777057
mailto:cekfakta@tempo.co.id
",,,https://statik.tempo.co/data/2024/04/01/id_1291899/1291899_720.jpg,https://statik.tempo.co/data/2024/04/01/id_1291901/1291901_720.jpg,4/1/2024,"cekfakta, cekfakta-tempo","

Verifikasi Tempo menyimpulkan narasi yang mengatakan video yang beredar memperlihatkan Ketua MK Suhartoyo membacakan putusan hakim MK atas sengketa Pilpres 2024, adalah klaim keliru.

Video yang beredar sesungguhnya gabungan dari bagian-bagian video pembacaan tuntutan dalam sengketa Pilpres 2024 di MK. Video telah direkayasa sehingga seakan-akan memperlihatkan pembacaan putusan hakim, padahal bukan.","[{'claim_date_published': '2024-04-01', 'claim_url': 'https://cekfakta.tempo.co/fakta/2846/keliru-video-yang-diklaim-putusan-mk-terkait-sengketa-pilpres-2024', 'claim_title': 'Keliru, Video yang Diklaim Putusan MK Terkait Sengketa Pilpres 2024', 'claim_author_name': 'Tempo', 'claim_rating_value': '1', 'claim_author_type': '1', 'claimed_item_author_name': 'Tempo', 'claimed_item_author_type': '1', 'claimed_item_url': 'https://cekfakta.tempo.co/fakta/2846/keliru-video-yang-diklaim-putusan-mk-terkait-sengketa-pilpres-2024', 'claimed_item_published_date': '2024-04-01'}]","[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]"
10,Kompas,Hoax,CekFakta,"Muhaimin: Tenaga Asing Dominasi Industri Hilirisasi Pertambangan, Benarkah?","KOMPAS.com - Sebuah video diklaim memperlihatkan demonstrasi yang berakhir ricuh di gedung Dewan Perwakilan Rakyat (DPR), Jakarta, pada Rabu (20/3/2024).

Berdasarkan penelusuran Tim Cek Fakta Kompas.com, narasi tersebut keliru. Unjuk rasa dalam video tidak terkait Pemilihan Umum (Pemilu) 2024.

Sebagai konteks, kericuhan terjadi saat demonstrasi Gerakan Penegak Kedaulatan Rakyat (GPKR) dan Koalisi Nasional Penyelamat Demokrasi (KNPD) di DPR, pada Selasa (19/3/2024).

Pedemo menuntut pemakzulan Presiden Joko Widodo dan menyuarakan penolakan terhadap pemilu curang. Demo ini berlangsung dari Senin (18/3/2024) hingga Rabu (20/3/2024).

Video yang diklaim menampilkan kericuhan unjuk rasa di depan Gedung DPR, pada Rabu (20/3/2024) dibagikan oleh akun Facebook ini.

Akun tersebut membagikan video kerumunan massa. Polisi tampak menembakkan water cannon ke arah massa. Video itu diberikan keterangan demikian:

Jakarta, 20/03/24

UNJUK RAS MAHASISWA DI DPR RICUH

Mahasiswa mengelar aksi unjuk ras di gedung DPR berakhir ricuh.

","Tim Cek Fakta Kompas.com menemukan video identik di laman CNN Indonesia ini yang diunggah pada 2019.

Ketika itu, pengunjuk rasa di depan DPR merusak water cannon dan mobil sound system pengurai massa (RAISA) milik polisi.

Seperti diberitakan Kompas.com, pada 24 September 2019, mahasiswa berunjuk rasa untuk menolak sejumlah undang-undang yang akan disahkan DPR bersama pemerintah.

Peraturan yang ditolak mahasiswa, antara lain Undang-Undang Komisi Pemberantasan Korupsi (KPK) hasil revisi dan Rancangan Kitab Undang-Undang Hukum Pidana (RKUHP).

Kerusuhan pecah setelah sekelompok mahasiswa memaksa masuk ke Kompleks Parlemen dengan memanjat pagar.

 

Kemudian, polisi menyemprotkan air dengan water cannon dan menembakkan gas air mata ke arah massa yang berkumpul di depan pagar.

Mahasiswa membalas melempari polisi dengan bambu dan batu. Polisi terus menambakkan gas air mata untuk membubarkan kerumunan.

","https://megapolitan.kompas.com/read/2024/03/19/19555771/demo-di-dpr-ricuh-massa-lempar-botol-dan-tarik-paksa-pagar?jxrecoid=d6ad4f3e-4df1-4367-a7aa-fe785a8d0dfe~kg_internal&amp;source=widgetML&amp;engine=C
https://www.facebook.com/reel/937564394340366
https://www.youtube.com/watch?v=1qOt9BAPGB4&amp;t=6s
https://megapolitan.kompas.com/read/2019/09/24/17510181/demo-mahasiswa-di-depan-dpr-massa-rusak-water-canon-pagar-hingga-kawat
https://www.whatsapp.com/channel/0029VaFPbedBPzjZrk13HO3D
",,,https://asset.kompas.com/crops/Jvr-vp_2zovHPry_NElfZZbeT8Y=/0x0:1563x1042/750x500/data/photo/2021/06/28/60d9cb3fac5ac.png,https://asset.kompas.com/crops/PiPpkXVXwRqGQSjyZzmqx87xgBg=/22x0:881x573/750x500/data/photo/2024/03/23/65fe8b96a7e25.jpg,3/25/2024,"cekfakta, kompas, cekfakta-kompas","Video kericuhan unjuk rasa di depan DPR pada 24 September 2019 disebarkan dengan narasi keliru.

Video tersebut tidak ada kaitannya dengan demo pada 20 Maret 2024 mengenai penolakan pemilu curang dan pemakzulan Presiden Jokowi.

","[{'claim_date_published': '2024-03-25', 'claim_url': 'https://www.kompas.com/cekfakta/read/2024/03/25/100100782/-klarifikasi-video-demo-ricuh-di-dpr-pada-2019-bukan-maret-2024', 'claim_title': '[KLARIFIKASI] Video Demo Ricuh di DPR pada 2019, Bukan Maret 2024', 'claim_author_name': 'Kompas', 'claim_rating_value': '1', 'claim_author_type': '1', 'claimed_item_author_name': 'Kompas', 'claimed_item_author_type': '1', 'claimed_item_url': 'https://www.kompas.com/cekfakta/read/2024/03/25/100100782/-klarifikasi-video-demo-ricuh-di-dpr-pada-2019-bukan-maret-2024', 'claimed_item_published_date': '2024-03-25'}]","[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]"
